,message
0,11000010010000001100010011011110110111101101011011000110110000101110011011001010010111000100000010001010110000101100011011010000010000001100010011011110110111101101011011000110110000101110011011001010010000001101000011000010111001100100000011100110110100101111000001000000111001101101000011001010110110001110110011001010111001111101011001000000110011101101111011010010110111001100111001000000110000101101100011011010110111101110011011101000010000001110100011011110010000001110100011010000110010100100000011000110110010101101001011011000110100101101110011001110010111000100000010100110110111101101101011001010010000001100010011011110110111101101011011100110110100001100101011011000111011001100101011100110010000001100001011100100110010100100000011100110111010001100001011000110110101101100101011001000010000001110100011011110010000001110100011010000110010100100000011000100111001001101001011011010010000001110111011010010111010001101000001000000110100001100001011100100110010001100010011000010110001101101011001000000110001001101111011011110110101101110011011000100010000001110011011000110110100101100101011011100110001101100101010010000010000001101101011000010111010001101000011100111111011100100000011010000110100101110011011101000110111101110010011110011011001000100000011000010110111001100100001000000110010101110110011001010111001001111001011101000110100001101001011011100110011100100000011001010110110001110011011001010010111000100000010011110111010001101000011001010111001000100000011100110110100001100101011011000111011001100101011100110010000001101000011000010111011001100101001000000111010001110111011011110010000001101100011000010111100101100101011100100111001100100000011011110110011000100000011100000110000101110000011001010111001001100010011000010110001101101011001000000111001101100011011010010110010101101110011000110110010100100000011001100110100101100011011101000110100101101111011011101010110100100000011101110110100101110100011010000010000001110100011010000110010100100000011000100110000101100011011010110010000001101100011000010111100101100101011100100010000001101111011001100010000001100010011011110110111101101011011100110010000001110000011100100110111101110000011100000110010101100100001000000111010101110000001000000110111101101110001000000110111101101100011001000010000001110100011010010111001101110011011101010110010100100000011000100110111101111000011001010111001100100000011011110111001000100000011011000110010101101110011001110111010001101000011100110010000001101111011001100010000001110111011011110110111101100100110011110010000001110011011011110010000001110100011010000110000101110100001000000111100101101111011101010010000001100011011000010110111000100000011100110110010101100101001000000111010001101000011001010010000001100010011000010110001101101011001000000110110001100001011110010110010101110010001000000110111101100110001000000110001001101111011011110110101101110011001000000110000101100010011011110111011001100101001000000111010001101000011001010010000001100010011011110110111101101011011100110010000001101001011011100010000001100110011100100110111101101110011101000010111000100000010000010110111001100100001000000110100101110100001000000111001101110100011010010110110001101100001000000110100101110011011011100001100001110100001000000110010101101110011011110111010101100111011010000010111000100000010000100110111101101111011010110111001100100000011000010111001001100101001000000110111101110110011001010111001001100110011011000110111101110111011010010110111001100111001000000110111101101110011101000110111100100000011101000110100001100101001000000111010001100001011000100110110001100101011100110010000001100001011011100110010000100000011101000110100001100101001000000111001101101111011001100110000101110011001000000110000101101110011001000010000001101101011000010110101101101001011011100110011100100000011011000110100101110100011101000110110001100101001000000110100001100101011000010111000001110011001000000111010101101110011001000110010101110010001000000111010001101000011001010010000001110111011010010110111001100100011011110111011101110011001011100100010101110110011001010111001001111001001000000110100101101110011000110110100000100000011011110110011000100000011101110110000101101100011011000010000001110011011100000110000101100011011001010010000001101001011100110010000001100011011011110111011001100101011100100110010101100100001000000110001001111001001000000
1,110010101110100011101010110111001101001011000010010000001000101011101100110000101101110011100110010110101010110011001010111001001110010011001010111001100001000001000000110000101101110011001000010000001110100011010000110010101101001011100100010000001100001011001000110111101110000011101000110010101100100001000000111001101101111011011100010110000100000010010000110000101110010011100100111100100100000010010100110000101101101011001010111001100100000010100000110111101110100011101000110010101110010001011010100010101110110011000010110111001110011001011010101011001100101011100100111001001100101011100110010111001010100011010000110100101110011001000000110100101110011001000000111010001101000011001010010000001101100011010010111011001101001011011100110011100101101011100100110111101101111011011010010000001101111011001100010000001110100011010000110010100100000011010000110111101110101011100110110010100100000011011110110001101100011011101010111000001101001011001010110010000100000011000100111100100100000011101000110100001100101001000000110010101101101011010010110111001100101011011100111010000100000010100000111001001101111011001100110010101110011011100110110111101110010001000000100110101101001011000110110100001100001011001010110110000100000010101100110010101110010011100100110010101110011001011010100010101110110011000010110111001110011000100000010000001100001011011100110010000100000011010000110100101110011001000000111011101101001011001100110010111111111001000000100110101110010011100110010111000100000010100000
2,10000101101110011001000010000001100001011011100010000001110101011011100111001101110100011000010110110101110000011001010110010000100000011001010110111001110110011001010110110001101111011100000110010100100000011011110110011000100000011110010110010101101100011011000110111101110111011010010111001101101000001000000111000001100001011100100110001101101000011011010110010101101110011101001100010000100000011000010110010001100100011100100110010101110011011100110110010101100100001000000111010001101111001000000100110101110010001011100010000001001000001011100010000001010000011011110111010001110100011001010111001000100000011010010110111000100000011001010110110101100101011100100110000101101100011001000010110101100111011100100110010101100101011011100010000001101001011011100110101100101110010101000110100001100101011100100110010100100000011010010111001100100000011000010010000001101100011001010111010001110100011001010111001000100000011011000111100101101001011011100110011100100000011011110110111000100000011101000110100001100101001000000110110001101001011101100110100101101110011001110010110101110010011011110110111101101101001000000111010001100001011000100110110001100101010001000010000001
3,110011001110010000001110100011011110010000001100010011001010010000001110101011011100110001101101001011101100110100101101100011010010111001101100101011001000010111001010100011010000110010100100000010100000111001001101111011001100110010101110011011100110110111101110010001000000110000101101110011001000010000001101000011010010111001100100000011101110110100101100110011001010010000001100001011100100110010100100000011100110111000001100101011000010110101101101001011011100110011100100000011100110110100001100001011100100111000001101100011110010010000001100001011101000010000001100101011000010110001101101000001000000110111101110100011010000110010101110010000101010010000001100010011101010111010000100000011101000110100001100101011110010010000001100001011100100110010100100000011011100110111101110100001000000111001101101000011011110111010101110100011010010110111001100111001011100010000001010100011010000110010100100000010100000111001001101111011001100110010101110011011100110110111101110010001000000110001101101111011011100111001101101001011001000110010101110010011100110010000001110011011010000110111101110101011101000110100101101
4,001101001011000010010111000100000010010000110100101110011001000000111010001101111011011100110010100100000011010010110111001100100011010010110001101100001011101000110010101100100001000000111010001101000011000010111010000100000011010000110010100100000011101110110000101110011001000000111011001100101011100100111100100100000011011010111010101100011011010000010000001100001011001100111001001100001011010010110010000100000011101000110100001100001011101000010000001110011011010000110010100100000011101110110000101110011001000000111001101100101011100100110100101101111011101010111001100101110100100000101100101101111011101011000001001110010011001010010000001101010011011110110101101101001011011100110011100000101111000010010000001001101011010010110001101101000011000010110010101101100001000000111001101100001011010010110010000100000011101000110111100100000010100000110010101110100011101010110111
5,10000001100111011100100110111101110101011011100110010000101110001000001010101001001000011001010111001000100000011010000111010101110011011000100110000101101110011001000010000001110111011000010111001100100000011000010010000001110111011010010111101001100001011100100110010000101110101011101110101001001101011110010010000001110011011010010111001101110100011001010111001000100000011101110110000101110011001000000110000100100000011101110110100101110100011000110110100010111111101001110010000001010000011001010111010001110101011011100110100101100001001000000111001001100101011100000110010101100001011101000110010101100100001011100010000001010011011010000110010100100000011011000110111101101111011010110110010101100100001000000110011001110010011010010110011101101000011101000110010101101110011001010110010011101010001000000110001001110101011101000010000001110011011101000110111101101111011001000010000001101000011001010111001000
6,10011001010010000001100001011101000010000001101111011101010111001000100000011101110110010101100100011001000110100101101110011001110010000000101101001000000111010001101000011001010111100100100000011101100110100101110011011010010111010001100101011001000010000001100110011011110111001000100000010000110110100001110010011010010111001101110100011011010110000101110011001000000010110111111111001001110101010001101000011010010111001100100000011010010111001100100000011000010110001001110011011101010111001001100100001000011000000000100000010011010110100101100011011010000110000101100101011011000010000001110011011000010110100101100100001000000111001101101000011000010111001001110000011011000111100100101110001000000101111101010100011010000110010101111001001000000111011101100101011100
7,1101111011101010010000001110111011001010111001001100101011011101011110101110100001000000111010001101111001000000110101101101110011011110111011110010010111111110010000001010000011001010111010001110101011011100110100101100001001000000111011101101000011010010111001101110000011001010111001001100101011001000010111000100000000010000100001001110101011101000010000001101001011101000101000001110011001000000111010001110010011101010110010100101110001000000100100100010110011101100110010100100000011100110110010101100101011011100010000001110100011010000110100101101110011001110111001100100000001011011001101010011111010010010010000001110100011011110110110001100100001000000111010001101000011001010110110100100000011110010
8,1000000100100001100001011100100111001001111001001000000111010001101111001000000110001001100101011011100110010000100000011100110111000001101111011011110110111001110011010011100010000001001001011001100010000001101001011101000010000001110011011001010110010101101101011001010110010000100000011011000110100101101011011001010010000001110100011010000110010101111001001000000110001101101111011101010110110001100100001000000110000101101100011101110110000101111001011100110010000001100111011101010110010101110011011100110010000001110111011010000110000101110100001000000111100101101111011101010010000001110111011001010111001001100101001000000111010001101000011010010110111001101011011010010110111001100111000001000010000001110100011010000110000101110100111101110111001100100000011000110110000101101100011011000110010101100100001000000110001101101111011011000110010000100000011100100110010101100001011001000110100101101110011001110010000000101101111111110101010001101000011001010010000001010000011100100110111101100110011001010111001101110011011011110111001000100000011100100110111101101100011011000110010101100100001000000110100001101001011100110010000001100101011110010110010101110011001011100010000011110101010001000110010101100001011100100001001000100000010010010010000001110101011011100110010001100101011100100111001101110100011000010110111001100100001000000111010001101000011000010111010000100000011110010110111101110101101001110111001001100101001000000110111001101111011101000010000001100110011000010110110101101001011011000110100101100001011100100010000001110111011010010111010001101000001000000111010001101000011001010010000001110011011000110110010101110000011101000110100101100011011000010110110000100000011011000110100101110100011001010111001001100001011101000111010101110010011001010010111000100000010110010110111101110101001000000110110101100001011110010010000001101110011011110111010000100000011100100110010101100001011011000110100101110011011001010010000001101000011011110111011100100000011001010110000101110011011110010010000001101001011101000010000001101001011100110010000001100110011011110111001000100000011000010010000001110100011100100110000101101001011011100110010101100100001000000110110101100001011001110110100101100011011010010110000101101110001000000111010001101111001000000110011001100001011010110110010100100000011101000110100001100101001000000111001101100101011001010110110101101001011011100110011101101100011110010010000001101001011011010111000001101111011100110111001101101001011000100110110001100101001011100010000001010010011001010110110101100101011011010110001001100101011100100010000001101000011011110111011100100000010010010010000001110100011000010111010101100111011010000111010000
9,01011100110110111011000001011101000010000001100010011001010110111001100100011010010110111001100111001000000111001101110000011011110110111101101110011100110010000000101101111110110100111101001001011101000010000001110111011000
